,URL,Paragraph
0,https://www.typingstudy.com/typingtest/3/The_Cat_and_the_Mice,"There was once a house that was overrun with Mice. A Cat heard of this, and said to herself, ""That's the place for me,"" and off she went and took up her quarters in the house, and caught the Mice one by one and ate them. At last the Mice could stand it no longer, and they determined to take to their holes and stay there. ""That's awkward,"" said the Cat to herself: ""the only thing to do is to coax them out by a trick."" So she considered a while, and then climbed up the wall and let herself hang down by her hind legs from a peg, and pretended to be dead. By and by a Mouse peeped out and saw the Cat hanging there. ""Aha!"" it cried, ""you're very clever, madam, no doubt: but you may turn yourself into a bag of meal hanging there, if you like, yet you won't catch us coming anywhere near you.""\nIf you are wise you won't be deceived by the innocent airs of those whom you have once found to be dangerous."
1,https://www.typingstudy.com/typingtest/15/The_Old_Woman_and_the_Doctor,"An Old Woman became almost totally blind from a disease of the eyes, and, after consulting a Doctor, made an agreement with him in the presence of witnesses that she should pay him a high fee if he cured her, while if he failed he was to receive nothing. The Doctor accordingly prescribed a course of treatment, and every time he paid her a visit he took away with him some article out of the house, until at last, when he visited her for the last time, and the cure was complete, there was nothing left. When the Old Woman saw that the house was empty she refused to pay him his fee; and, after repeated refusals on her part, he sued her before the magistrates for payment of her debt. On being brought into court she was ready with her defence. ""The claimant,"" said she, ""has stated the facts about our agreement correctly. I undertook to pay him a fee if he cured me, and he, on his part, promised to charge nothing if he failed. Now, he says I am cured; but I say that I am blinder than ever, and I can prove what I say. When my eyes were bad I could at any rate see well enough to be aware that my house contained a certain amount of furniture and other things; but now, when according to him I am cured, I am entirely unable to see anything there at all."""
2,https://www.typingstudy.com/typingtest/17/Mercury_and_the_Woodman,"A Woodman was felling a tree on the bank of a river, when his axe, glancing off the trunk, flew out of his hands and fell into the water. As he stood by the water's edge lamenting his loss, Mercury appeared and asked him the reason for his grief; and on learning what had happened, out of pity for his distress he dived into the river and, bringing up a golden axe, asked him if that was the one he had lost. The Woodman replied that it was not, and Mercury then dived a second time, and, bringing up a silver axe, asked if that was his. ""No, that is not mine either,"" said the Woodman. Once more Mercury dived into the river, and brought up the missing axe. The Woodman was overjoyed at recovering his property, and thanked his benefactor warmly; and the latter was so pleased with his honesty that he made him a present of the other two axes. When the Woodman told the story to his companions, one of these was filled with envy of his good fortune and determined to try his luck for himself. So he went and began to fell a tree at the edge of the river, and presently contrived to let his axe drop into the water. Mercury appeared as before, and, on learning that his axe had fallen in, he dived and brought up a golden axe, as he had done on the previous occasion. Without waiting to be asked whether it was his or not the fellow cried, ""That's mine, that's mine,"" and stretched out his hand eagerly for the prize: but Mercury was so disgusted at his dishonesty that he not only declined to give him the golden axe, but also refused to recover for him the one he had let fall into the stream.\nHonesty is the best policy."
3,"https://www.typingstudy.com/typingtest/18/The_Ass,_the_Fox,_and_the_Lion","An Ass and a Fox went into partnership and sallied out to forage for food together. They hadn't gone far before they saw a Lion coming their way, at which they were both dreadfully frightened. But the Fox thought he saw a way of saving his own skin, and went boldly up to the Lion and whispered in his ear, ""I'll manage that you shall get hold of the Ass without the trouble of stalking him, if you'll promise to let me go free."" The Lion agreed to this, and the Fox then rejoined his companion and contrived before long to lead him by a hidden pit, which some hunter had dug as a trap for wild animals, and into which he fell. When the Lion saw that the Ass was safely caught and couldn't get away, it was to the Fox that he first turned his attention, and he soon finished him off, and then at his leisure proceeded to feast upon the Ass.\nBetray a friend, and you'll often find you have ruined yourself."
4,https://www.typingstudy.com/typingtest/19/The_Lion_and_the_Mouse,"A Lion asleep in his lair was waked up by a Mouse running over his face. Losing his temper he seized it with his paw and was about to kill it. The Mouse, terrified, piteously entreated him to spare its life. ""Please let me go,"" it cried, ""and one day I will repay you for your kindness."" The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go. But the Mouse's chance came, after all. One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot. Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free. ""There!"" said the Mouse, ""you laughed at me when I promised I would repay you: but now you see, even a Mouse can help a Lion."""
5,https://www.typingstudy.com/typingtest/22/The_North_Wind_and_the_Sun,"A dispute arose between the North Wind and the Sun, each claiming that he was stronger than the other. At last they agreed to try their powers upon a traveller, to see which could soonest strip him of his cloak. The North Wind had the first try; and, gathering up all his force for the attack, he came whirling furiously down upon the man, and caught up his cloak as though he would wrest it from him by one single effort: but the harder he blew, the more closely the man wrapped it round himself. Then came the turn of the Sun. At first he beamed gently upon the traveller, who soon unclasped his cloak and walked on with it hanging loosely about his shoulders: then he shone forth in his full strength, and the man, before he had gone many steps, was glad to throw his cloak right off and complete his journey more lightly clad.\nPersuasion is better than force"
6,https://www.typingstudy.com/typingtest/24/The_Goods_and_the_Ills,"There was a time in the youth of the world when Goods and Ills entered equally into the concerns of men, so that the Goods did not prevail to make them altogether blessed, nor the Ills to make them wholly miserable. But owing to the foolishness of mankind the Ills multiplied greatly in number and increased in strength, until it seemed as though they would deprive the Goods of all share in human affairs, and banish them from the earth. The latter, therefore, betook themselves to heaven and complained to Jupiter of the treatment they had received, at the same time praying him to grant them protection from the Ills, and to advise them concerning the manner of their intercourse with men. Jupiter granted their request for protection, and decreed that for the future they should not go among men openly in a body, and so be liable to attack from the hostile Ills, but singly and unobserved, and at infrequent and unexpected intervals. Hence it is that the earth is full of Ills, for they come and go as they please and are never far away; while Goods, alas! come one by one only, and have to travel all the way from heaven, so that they are very seldom seen."
7,https://www.typingstudy.com/typingtest/25/The_Hares_and_the_Frogs,"The Hares once gathered together and lamented the unhappiness of their lot, exposed as they were to dangers on all sides and lacking the strength and the courage to hold their own. Men, dogs, birds and beasts of prey were all their enemies, and killed and devoured them daily: and sooner than endure such persecution any longer, they one and all determined to end their miserable lives. Thus resolved and desperate, they rushed in a body towards a neighbouring pool, intending to drown themselves. On the bank were sitting a number of Frogs, who, when they heard the noise of the Hares as they ran, with one accord leaped into the water and hid themselves in the depths. Then one of the older Hares who was wiser than the rest cried out to his companions, ""Stop, my friends, take heart; don't let us destroy ourselves after all: see, here are creatures who are afraid of us, and who must, therefore, be still more timid than ourselves."""
8,https://www.typingstudy.com/typingtest/28/The_Stag_in_the_Ox-Stall,"A Stag, chased from his lair by the hounds, took refuge in a farmyard, and, entering a stable where a number of oxen were stalled, thrust himself under a pile of hay in a vacant stall, where he lay concealed, all but the tips of his horns. Presently one of the Oxen said to him, ""What has induced you to come in here? Aren't you aware of the risk you are running of being captured by the herdsmen?"" To which he replied, ""Pray let me stay for the present. When night comes I shall easily escape under cover of the dark."" In the course of the afternoon more than one of the farm-hands came in, to attend to the wants of the cattle, but not one of them noticed the presence of the Stag, who accordingly began to congratulate himself on his escape and to express his gratitude to the Oxen. ""We wish you well,"" said the one who had spoken before, ""but you are not out of danger yet. If the master comes, you will certainly be found out, for nothing ever escapes his keen eyes."" Presently, sure enough, in he came, and made a great to-do about the way the Oxen were kept. ""The beasts are starving,"" he cried; ""here, give them more hay, and put plenty of litter under them."" As he spoke, he seized an armful himself from the pile where the Stag lay concealed, and at once detected him. Calling his men, he had him seized at once and killed for the table."
9,https://www.typingstudy.com/typingtest/29/The_Milkmaid_and_her_Pail,"A farmer's daughter had been out to milk the cows, and was returning to the dairy carrying her pail of milk upon her head. As she walked along, she fell a-musing after this fashion: ""The milk in this pail will provide me with cream, which I will make into butter and take to market to sell. With the money I will buy a number of eggs, and these, when hatched, will produce chickens, and by and by I shall have quite a large poultry-yard. Then I shall sell some of my fowls, and with the money which they will bring in I will buy myself a new gown, which I shall wear when I go to the fair; and all the young fellows will admire it, and come and make love to me, but I shall toss my head and have nothing to say to them."" Forgetting all about the pail, and suiting the action to the word, she tossed her head. Down went the pail, all the milk was spilled, and all her fine castles in the air vanished in a moment!\nDo not count your chickens before they are hatched."
10,https://www.typingstudy.com/typingtest/32/The_Ass_and_the_Lap-Dog,"There was once a man who had an Ass and a Lap-dog. The Ass was housed in the stable with plenty of oats and hay to eat and was as well off as an ass could be. The little Dog was made a great pet of by his master, who fondled him and often let him lie in his lap; and if he went out to dinner, he would bring back a tit-bit or two to give him when he ran to meet him on his return. The Ass had, it is true, a good deal of work to do, carting or grinding the corn, or carrying the burdens of the farm: and ere long he became very jealous, contrasting his own life of labour with the ease and idleness of the Lap-dog. At last one day he broke his halter, and frisking into the house just as his master sat down to dinner, he pranced and capered about, mimicking the frolics of the little favourite, upsetting the table and smashing the crockery with his clumsy efforts. Not content with that, he even tried to jump on his master's lap, as he had so often seen the dog allowed to do. At that the servants, seeing the danger their master was in, belaboured the silly Ass with sticks and cudgels, and drove him back to his stable half dead with his beating. ""Alas!"" he cried, ""all this I have brought on myself. Why could I not be satisfied with my natural and honourable position, without wishing to imitate the ridiculous antics of that useless little Lap-dog?"""
11,https://www.typingstudy.com/typingtest/37/The_Bear_and_the_Travellers,"Two Travellers were on the road together, when a Bear suddenly appeared on the scene. Before he observed them, one made for a tree at the side of the road, and climbed up into the branches and hid there. The other was not so nimble as his companion; and, as he could not escape, he threw himself on the ground and pretended to be dead. The Bear came up and sniffed all round him, but he kept perfectly still and held his breath: for they say that a bear will not touch a dead body. The Bear took him for a corpse, and went away. When the coast was clear, the Traveller in the tree came down, and asked the other what it was the Bear had whispered to him when he put his mouth to his ear. The other replied, ""He told me never again to travel with a friend who deserts you at the first sign of danger.""\nMisfortune tests the sincerity of friendship."
12,https://www.typingstudy.com/typingtest/38/The_Slave_and_the_Lion,"A Slave ran away from his master, by whom he had been most cruelly treated, and, in order to avoid capture, betook himself into the desert. As he wandered about in search of food and shelter, he came to a cave, which he entered and found to be unoccupied. Really, however, it was a Lion's den, and almost immediately, to the horror of the wretched fugitive, the Lion himself appeared. The man gave himself up for lost: but, to his utter astonishment, the Lion, instead of springing upon him and devouring him, came and fawned upon him, at the same time whining and lifting up his paw. Observing it to be much swollen and inflamed, he examined it and found a large thorn embedded in the ball of the foot. He accordingly removed it and dressed the wound as well as he could: and in course of time it healed up completely. The Lion's gratitude was unbounded; he looked upon the man as his friend, and they shared the cave for some time together. A day came, however, when the Slave began to long for the society of his fellow-men, and he bade farewell to the Lion and returned to the town. Here he was presently recognised and carried off in chains to his former master, who resolved to make an example of him, and ordered that he should be thrown to the beasts at the next public spectacle in the theatre. On the fatal day the beasts were loosed into the arena, and among the rest a Lion of huge bulk and ferocious aspect; and then the wretched Slave was cast in among them. What was the amazement of the spectators, when the Lion after one glance bounded up to him and lay down at his feet with every expression of affection and delight! It was his old friend of the cave! The audience clamoured that the Slave's life should be spared: and the governor of the town, marvelling at such gratitude and fidelity in a beast, decreed that both should receive their liberty."
13,https://www.typingstudy.com/typingtest/44/The_Apes_and_the_Two_Travellers,"Two men were travelling together, one of whom never spoke the truth, whereas the other never told a lie: and they came in the course of their travels to the land of Apes. The King of the Apes, hearing of their arrival, ordered them to be brought before him; and by way of impressing them with his magnificence, he received them sitting on a throne, while the Apes, his subjects, were ranged in long rows on either side of him. When the Travellers came into his presence he asked them what they thought of him as a King. The lying Traveller said, ""Sire, every one must see that you are a most noble and mighty monarch."" ""And what do you think of my subjects?"" continued the King. ""They,"" said the Traveller, ""are in every way worthy of their royal master."" The Ape was so delighted with his answer that he gave him a very handsome present. The other Traveller thought that if his companion was rewarded so splendidly for telling a lie, he himself would certainly receive a still greater reward for telling the truth; so, when the Ape turned to him and said, ""And what, sir, is your opinion?"" he replied, ""I think you are a very fine Ape, and all your subjects are fine Apes too."" The King of the Apes was so enraged at his reply that he ordered him to be taken away and clawed to death."
14,https://www.typingstudy.com/typingtest/45/The_Ass_and_his_Burdens,"A Pedlar who owned an Ass one day bought a quantity of salt, and loaded up his beast with as much as he could bear. On the way home the Ass stumbled as he was crossing a stream and fell into the water. The salt got thoroughly wetted and much of it melted and drained away, so that, when he got on his legs again, the Ass found his load had become much less heavy. His master, however, drove him back to town and bought more salt, which he added to what remained in the panniers, and started out again. No sooner had they reached a stream than the Ass lay down in it, and rose, as before, with a much lighter load. But his master detected the trick, and turning back once more, bought a large number of sponges, and piled them on the back of the Ass. When they came to the stream the Ass again lay down: but this time, as the sponges soaked up large quantities of water, he found, when he got up on his legs, that he had a bigger burden to carry than ever.\nYou may play a good card once too often."
15,https://www.typingstudy.com/typingtest/47/The_Fox_and_the_Goat,"A Fox fell into a well and was unable to get out again. By and by a thirsty Goat came by, and seeing the Fox in the well asked him if the water was good. ""Good?"" said the Fox, ""it's the best water I ever tasted in all my life. Come down and try it yourself."" The Goat thought of nothing but the prospect of quenching his thirst, and jumped in at once. When he had had enough to drink, he looked about, like the Fox, for some way of getting out, but could find none. Presently the Fox said, ""I have an idea. You stand on your hind legs, and plant your forelegs firmly against the side of the well, and then I'll climb on to your back, and, from there, by stepping on your horns, I can get out. And when I'm out, I'll help you out too."" The Goat did as he was requested, and the Fox climbed on to his back and so out of the well; and then he coolly walked away. The Goat called loudly after him and reminded him of his promise to help him out: but the Fox merely turned and said, ""If you had as much sense in your head as you have hair in your beard you wouldn't have got into the well without making certain that you could get out again.""\nLook before your leap."
